Algoritmo,Rodada,Tempo_Segundos,Chamadas_Oraculo
brute,1,0.21584,14784025
brute,2,0.20244,14784025
brute,3,0.2076,14784025
brute,4,0.17727,14784025
brute,5,0.20472,14784025
brute,6,0.17239,14784025
brute,7,0.19452,14784025
brute,8,0.17832,14784025
brute,9,0.17762,14784025
brute,10,0.23559,14784025
brute,11,0.17078,14784025
brute,12,0.172,14784025
brute,13,0.17316,14784025
divide,1,0.0001,7691
divide,2,0.00014,7691
divide,3,0.00014,7691
divide,4,0.00019,7691
divide,5,0.00019,7691
divide,6,0.00026,7691
divide,7,0.00017,7691
divide,8,0.00019,7691
divide,9,0.0002,7691
divide,10,0.0002,7691
divide,11,0.00028,7691
divide,12,0.0001,7691
divide,13,0.00019,7691
dynamic,1,1e-05,18
dynamic,2,3e-05,18
dynamic,3,3e-05,18
dynamic,4,2e-05,18
dynamic,5,2e-05,18
dynamic,6,2e-05,18
dynamic,7,2e-05,18
dynamic,8,2e-05,18
dynamic,9,2e-05,18
dynamic,10,4e-05,18
dynamic,11,2e-05,18
dynamic,12,2e-05,18
dynamic,13,2e-05,18
genetic,1,0.0009,1810
genetic,2,0.00102,1810
genetic,3,0.0007,1810
genetic,4,0.00071,1810
genetic,5,0.00096,1810
genetic,6,0.00074,1810
genetic,7,0.00099,1810
genetic,8,0.00071,1810
genetic,9,0.00065,1810
genetic,10,0.00071,1810
genetic,11,0.00061,1810
genetic,12,0.00061,1810
genetic,13,0.0006,1810
